Criterion,Original,Lamprecht,Theory,Lamprecht action,Our action,Implementation
F1,(Meta)data are assigned a globally unique and persistent identifier,"Software and its associated metadata have a global, unique and persistent identifier for each released version","Theory (meta)data has a global, unique and persistent identifier",Rephrased,Rephrased,Zenodo
F2,Data are described with rich metadata,Software is described with rich metadata,Theory is described with rich metadata,Rephrased,Rephrased,This paper takes first step; further work is needed
F3,Metadata clearly and explicitly include the identifier of the data it describes,Metadata clearly and explicitly include identifiers for all the versions of the software it describes,Metadata clearly and explicitly include identifiers for all the versions of the theory it describes,Rephrased and extended,Rephrased and extended,Reference DOI of theories and operationalizations 
F4,(Meta)data are registered or indexed in a searchable resource,Software and its associated metadata are included in a searchable software registry,Theory and its associated metadata are included in a searchable repository,Rephrased,"Rephrased, needs work",Zenodo
A1,(Meta)data are retrievable by their identifier using a standardized communications protocol,Software and its associated metadata are accessible by their identifier using a standardized communications protocol,Theory and its associated metadata are accessible by their identifier using a standardized communications protocol,Rephrased,Rephrased,Git/GitHub
A1.1,"The protocol is open, free, and universally implementable","The protocol is open, free, and universally implementable","The protocol is open, free, and universally implementable",Remain the same,Remain the same,Git/GitHub
A1.2,"The protocol allows for an authentication and authorization procedure, where necessary","The protocol allows for an authentication and authorization procedure, where necessary","The protocol allows for an authentication and authorization procedure, where necessary",Remain the same,"Remain the same, but less relevant",Git/GitHub
A2,"Metadata are accessible, even when the data are no longer available","Software metadata are accessible, even when the software is no longer available","Theory metadata are accessible, even when the theory is no longer available",Rephrased,"Rephrased, but less relevant",Zenodo
I1,"(Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation","Software and its associated metadata use a formal, accessible, shared and broadly applicable language to facilitate machine readability and data exchange","Theory and its associated metadata use a formal, accessible, shared and broadly applicable language to facilitate machine readability and reuse",Rephrased and extended,Rephrased and extended,"Plain text, dot"
I2,(Meta)data use vocabularies that follow FAIR principles,- ,Theory and its associated metadata  use vocabularies that follow FAIR principles,"Reinterpreted, extended and split",Rephrased,Metabus? Manylabs?
I2S.1,-,Software and its associated metadata are formally described using controlled vocabularies that follow the FAIR principles,,"Reinterpreted, extended and split",,
I2S.2,-,Software use and produce data in types and formats that are formally described using controlled vocabularies that follow the FAIR principles,,"Reinterpreted, extended and split",,
I3,(Meta)data include qualified references to other (meta)data,-,"Theory and its associated metadata includes qualified references to other theories and their metadata, including previous versions of the theory",Discarded,Extended,Reference DOI of theories and operationalizations 
I4S,-,Software dependencies are documented and mechanisms to access them exist,,Newly proposed,,
R1,(Meta)data are richly described with a plurality of accurate and relevant attributes,Software and its associated metadata are richly described with a plurality of accurate and relevant attributes,Theory and its associated metadata are richly described with a plurality of accurate and relevant attributes,Rephrased,Rephrased,Reference DOI of theories and operationalizations 
R1.1,(Meta)data are released with a clear and accessible data usage license,"Software and its associated metadata have independent, clear and accessible usage licenses compatible with the software dependencies",Theory and its associated metadata are released with a clear and accessible license,Rephrased and extended,Rephrased,"CC0, because copyright likely does not cover theory"
R1.2,(Meta)data are associated with detailed provenance,"Software metadata include detailed provenance, detail level should be community agreed",Theory and its associated metadata are associated with detailed provenance,Rephrased,Rephrased,Comprehensive citation
R1.3,(Meta)data meet domain-relevant community standards,Software metadata and documentation meet domain-relevant community standards,Theory and its associated metadata and documentation meet domain-relevant community standards,Rephrased,Rephrased,This paper takes first step; further work is needed
